id,link,content,date,retweets,favorites,mentions,hashtags,Pics
1.21505E+18,https://twitter.com/JoeBiden/status/1215054324553764864,"3,820 days — that's how long it's been since the federal minimum wage was last raised. It’s unacceptable. Raising the minimum wage to $15 an hour nationwide should be just our starting point for ensuring workers receive the pay they deserve. https://t.co/pL3qZXsCJu",1/8/2020 23:35,835,2870,,,"3,820 days — that's how long it's been since the federal minimum wage was last raised. It’s unacceptable. Raising the minimum wage to $15 an hour nationwide should be just our starting point for ensuring workers receive the pay they deserve. https://t.co/"
1.21507E+18,https://twitter.com/JoeBiden/status/1215069324538499072,Gabby is one of the strongest people I know. The resilience she has shown is remarkable. I'm inspired by her courage in turning tragedy into purpose and grateful for her relentless determination to make our country a safer place for all. https://t.co/PHlQy6cxYF,1/9/2020 0:34,720,4094,,,Gabby is one of the strongest people I know. The resilience she has shown is remarkable. I'm inspired by her courage in turning tragedy into purpose and grateful for her relentless determination to make our country a safer place for all. https://t.co/
1.21508E+18,https://twitter.com/JoeBiden/status/1215082272682119170,"I'm thankful no one was hurt in last night's attack. But we're only in this mess because Donald Trump pulled out of the Iran Deal (which even his advisors said was working), turned his back on our allies, and had no strategy for what comes next.",1/9/2020 1:26,4776,27199,,,"I'm thankful no one was hurt in last night's attack. But we're only in this mess because Donald Trump pulled out of the Iran Deal (which even his advisors said was working), turned his back on our allies, and had no strategy for what c"
1.21508E+18,https://twitter.com/JoeBiden/status/1215082273822953472,"Instead of using his statement today to lay out a coherent strategy on Iran, Donald Trump used it to mislead the country on the Obama-Biden record. He's been President for three years. It's time he stops blaming President Obama for his failures.",1/9/2020 1:26,2064,11053,,,"Instead of using his statement today to lay out a coherent strategy on Iran, Donald Trump used it to mislead the country on the Obama-Biden record. He's been President for three years. It's time he stops blaming President Obama for his"
1.2153E+18,https://twitter.com/JoeBiden/status/1215298432958529537,"We are so much better than who Donald Trump thinks we are. We don’t have to give in to his dark, petty, angry vision of America. We can choose to be the more perfect union we have always aspired to be — and restore the soul of this nation. https://t.co/nkD23GxirG",1/9/2020 15:45,3882,18878,,,"We are so much better than who Donald Trump thinks we are. We don’t have to give in to his dark, petty, angry vision of America. We can choose to be the more perfect union we have always aspired to be — and restore the soul of this nation. https://t.co/"
1.21536E+18,https://twitter.com/JoeBiden/status/1215358611024678913,Facebook continues to put their profits over the truth — allowing politicians like Donald Trump to spend an unthinkable amount of money on paid disinformation. Our democracy is worse off for their failure to confront this. https://t.co/sKaAjHsKc7,1/9/2020 19:44,2267,7056,,,Facebook continues to put their profits over the truth — allowing politicians like Donald Trump to spend an unthinkable amount of money on paid disinformation. Our democracy is worse off for their failure to confront this. https://t.co/
1.21539E+18,https://twitter.com/JoeBiden/status/1215393056603561984,This election is about the soul of America — and a nation that allows our epidemic of school shootings to continue has a troubled soul. We have to beat the @NRA and get weapons of war off our streets. Lives depend on it. https://t.co/WtSljHo3ka,1/9/2020 22:01,909,2856,,,This election is about the soul of America — and a nation that allows our epidemic of school shootings to continue has a troubled soul. We have to beat the @NRA and get weapons of war off our streets. Lives depend on it. https://t.co/
1.21546E+18,https://twitter.com/JoeBiden/status/1215457388825923584,"I started the Cancer Moonshot so we could be the generation that finally cures cancer.

You then tried to slash nearly $1 billion for cancer funding.

We're lucky that the cancer rate is down, but we're luckier that Congress stopped you. https://t.co/MY3BtXMLoE",1/10/2020 2:16,9367,38663,,,"I started the Cancer Moonshot so we could be the generation that finally cures cancer.

You then tried to slash nearly $1 billion for cancer funding.

We're lucky that the cancer rate is down, but we're luckier that Congress stopped you. https://t.co/"
1.21565E+18,https://twitter.com/JoeBiden/status/1215653271961919489,"Donald Trump brought us dangerously close to starting a new war with Iran without any semblance of a plan.

This moment requires a leader who will be ready on day one to pick up the pieces and repair the damage Trump has caused. https://t.co/HDNnbR8tEB",1/10/2020 15:15,2437,9443,,,"Donald Trump brought us dangerously close to starting a new war with Iran without any semblance of a plan.

This moment requires a leader who will be ready on day one to pick up the pieces and repair the damage Trump has caused. https://t.co/"
1.2157E+18,https://twitter.com/JoeBiden/status/1215703603098288129,"I've released 21 years of my tax returns. Why haven't you released any of yours, Mr. President?

Release your taxes or hush up about corruption. https://t.co/g1C7l4imKW",1/10/2020 18:35,7786,33806,,,"I've released 21 years of my tax returns. Why haven't you released any of yours, Mr. President?

Release your taxes or hush up about corruption. https://t.co/"
1.21574E+18,https://twitter.com/JoeBiden/status/1215740345113141248,"Make no mistake: the situation with Iran is a crisis of Donald Trump's own making. He brought us to the brink of war with no plan and no strategy.

He is the most erratic and incompetent commander in chief we've ever had. https://t.co/LkmJvh1FAn",1/10/2020 21:01,6325,24095,,,"Make no mistake: the situation with Iran is a crisis of Donald Trump's own making. He brought us to the brink of war with no plan and no strategy.

He is the most erratic and incompetent commander in chief we've ever had. https://t.co/"
1.21579E+18,https://twitter.com/JoeBiden/status/1215786650137055234,"Being a nation of immigrants is and has always been one of our greatest strengths. Our diversity has always made us stronger, but Donald Trump doesn’t get that. https://t.co/W8ORewXTYA",1/11/2020 0:05,1371,6236,,,"Being a nation of immigrants is and has always been one of our greatest strengths. Our diversity has always made us stronger, but Donald Trump doesn’t get that. https://t.co/"
1.21581E+18,https://twitter.com/JoeBiden/status/1215808474501844992,"Firefighters represent the best of America — courageous, selfless, and always answering the call to duty. I'm grateful to those who are heading to help our friends in Australia battle devastating wildfires. https://t.co/ncemFZLB6M",1/11/2020 1:31,1735,9961,,,"Firefighters represent the best of America — courageous, selfless, and always answering the call to duty. I'm grateful to those who are heading to help our friends in Australia battle devastating wildfires. https://t.co/"
1.21605E+18,https://twitter.com/JoeBiden/status/1216053407779360768,Members of Teamsters Local 104 are striking against ASARCO for their unfair labor practices—I called into the picket line to support them. Every company should provide its workers with the pay and benefits they've earned—especially one that pulls in over $1 billion in profits. https://t.co/Pm1EYxodmU,1/11/2020 17:45,582,1950,,,Members of Teamsters Local 104 are striking against ASARCO for their unfair labor practices—I called into the picket line to support them. Every company should provide its workers with the pay and benefits they've earned—especially one that pulls in over $1 billion in profits. https://t.co/
1.21606E+18,https://twitter.com/JoeBiden/status/1216056642313359361,Congratulations to President Tsai and the people of Taiwan for another successful election. You are stronger because of your free and open society. The United States should continue strengthening our ties with Taiwan and other like-minded democracies. https://t.co/NAt6ldYpRj,1/11/2020 17:57,1651,8445,,,Congratulations to President Tsai and the people of Taiwan for another successful election. You are stronger because of your free and open society. The United States should continue strengthening our ties with Taiwan and other like-minded democracies. https://t.co/
1.21608E+18,https://twitter.com/JoeBiden/status/1216081341965590529,What kind of nation are we if we simply accept that kids learn active shooter drills with their ABCs? We have to take on the @NRA and pass common-sense gun safety reforms to protect our children. https://t.co/d76FxbwBuB,1/11/2020 19:36,2540,9943,,,What kind of nation are we if we simply accept that kids learn active shooter drills with their ABCs? We have to take on the @NRA and pass common-sense gun safety reforms to protect our children. https://t.co/
1.21611E+18,https://twitter.com/JoeBiden/status/1216109024040476672,I've seen firsthand how hard our educators work for little pay and with few resources. They deserve better. It's time we support our educators by giving them the pay and dignity they deserve. https://t.co/d1o4WnUNrt,1/11/2020 21:26,944,3817,,,I've seen firsthand how hard our educators work for little pay and with few resources. They deserve better. It's time we support our educators by giving them the pay and dignity they deserve. https://t.co/
1.21616E+18,https://twitter.com/JoeBiden/status/1216160510183428096,"I want to congratulate my friend Iowa Attorney General Tom Miller on making history. I've known Tom for years, he has never been afraid to take on the tough fights and has always served with honor and integrity—Iowa and our nation are better because of it. https://t.co/plv5WDvUbc",1/12/2020 0:50,343,1906,,,"I want to congratulate my friend Iowa Attorney General Tom Miller on making history. I've known Tom for years, he has never been afraid to take on the tough fights and has always served with honor and integrity—Iowa and our nation are better because of it. https://t.co/"
1.21642E+18,https://twitter.com/JoeBiden/status/1216422087138693120,"Thank you for your endorsement, Mayor @EricGarcetti. I’m proud to walk with firefighters, Angelenos, and Americans. And today, I’m proud to walk with you. Let’s do this. https://t.co/I01t0L2wXI",1/12/2020 18:10,750,3445,,,"Thank you for your endorsement, Mayor @EricGarcetti. I’m proud to walk with firefighters, Angelenos, and Americans. And today, I’m proud to walk with you. Let’s do this. https://t.co/"
1.21642E+18,https://twitter.com/JoeBiden/status/1216424855257534464,"Gracias por su apoyo, Mayor @EricGarcetti. Estoy orgulloso de caminar junto a los bomberos, los Angelenos, y los Americanos. Y hoy, me siento orgulloso de caminar junto a ti. Vamos. https://t.co/X0WRq7QEnD",1/12/2020 18:21,211,926,,,"Gracias por su apoyo, Mayor @EricGarcetti. Estoy orgulloso de caminar junto a los bomberos, los Angelenos, y los Americanos. Y hoy, me siento orgulloso de caminar junto a ti. Vamos. https://t.co/"
1.21646E+18,https://twitter.com/JoeBiden/status/1216464610318061577,"Trump’s reckless policies have needlessly endangered our interests in the Middle East. But none of us should be under any illusions about the Iranian regime, and the Iranian people — like all people everywhere — have the right to peaceful protest. The world should support them.",1/12/2020 20:58,2552,12940,,,"Trump’s reckless policies have needlessly endangered our interests in the Middle East. But none of us should be under any illusions about the Iranian regime, and the Iranian people — like all people everywhere — have the right to peaceful protest. The world should sup"
1.2165E+18,https://twitter.com/JoeBiden/status/1216495106037035011,"There’s enormous opportunity once we get rid of Donald Trump. We can:

- Address the climate emergency
- Build a more inclusive middle class
- Build on Obamacare
- Ensure our government works for everyone — not just the powerful",1/12/2020 23:00,7624,43524,,,"There’s enormous opportunity once we get rid of Donald Trump. We can:

- Address the climate emergency
- Build a more inclusive middle class
- Build on Obamacare
- Ensure our government works for everyone — not just th"
1.21655E+18,https://twitter.com/JoeBiden/status/1216546909579567104,Puerto Rico should not be treated any differently than if this happened anywhere else in America — it's wrong. We should be surging all the help that is needed to fix the damage done by the earthquakes. https://t.co/AIAuQy2Fjs,1/13/2020 2:26,2683,10299,,,Puerto Rico should not be treated any differently than if this happened anywhere else in America — it's wrong. We should be surging all the help that is needed to fix the damage done by the earthquakes. https://t.co/
1.21676E+18,https://twitter.com/JoeBiden/status/1216758302421352451,"Cory, you campaigned with joy and heart, and instead of just talking about bringing people together, you did it every day. You made our politics better just by running. Grateful to you and looking forward to your continued leadership.",1/13/2020 16:26,4238,38098,,,"Cory, you campaigned with joy and heart, and instead of just talking about bringing people together, you did it every day. You made our politics better just by running. Grateful to you and looking forward to your continued l"
